Smiles,Source
CC(C)(C)C(=O)NCC(=O)NCc1ccc(nc1)N1CCOCC1,Enamine_antivirals
Cc1cccc(OCCn2c(ccc(C(=O)N)c2=O)C(F)(F)F)c1,Enamine_antivirals
NC(=O)Cc1csc(NC(=O)CCC2CCCC2)n1,Enamine_antivirals
O=C(NCCc1cccnc1)NC1CCCC1,Enamine_antivirals
CSc1nc(C)c(CC(=O)NC2CCCCC2)s1,Enamine_antivirals
CCCCNC(=O)Cc1noc(CN2CCOCC2)n1,Enamine_antivirals
CC(C)(C)C(=O)Nc1ccc(nc1)N1CCOCC1,Enamine_antivirals
OCCc1nc2ccccc2n1CCOc1ccccc1Cl,Enamine_antivirals
CCNC(=O)CNC(=O)Cc1csc(n1)C(C)C,Enamine_antivirals
CC(C)c1nc(CC(=O)NC2CCCCNC2=O)cs1,Enamine_antivirals
O=C(CCN1C(=O)C2CCCCC2C1=O)NCCc1ccccn1,Enamine_antivirals
CSC(C)C(=O)Nc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
CCC(C)NC(=O)c1cccnc1N1CCOCC1,Enamine_antivirals
CCC(C)(C)NC(=O)Cn1ccc(=O)[nH]c1=O,Enamine_antivirals
O=C(NCC(C1CCOC1)N1CCOCC1)Nc1cccnc1,Enamine_antivirals
O=S(=O)(NCCc1ccccn1)N1CCOCC1,Enamine_antivirals
CC1CCC(CC1)NC(=O)Nc1nncs1,Enamine_antivirals
CC1CCN(CCNC(=O)Nc2cc(C)on2)CC1,Enamine_antivirals
COCCOc1ccc(NC(=O)N2CCNC(=O)C2)cn1,Enamine_antivirals
CSC(C)C(=O)Nc1ccc(cn1)N1CCOCC1,Enamine_antivirals
CCC(C)NC(=O)Cn1ccc(=O)[nH]c1=O,Enamine_antivirals
CC(=O)c1ccc(OCC(O)Cn2cnc3ccccc23)cc1,Enamine_antivirals
COCCOc1ccc(NC(=O)C2CN(C(C)C)C(=O)C2)cn1,Enamine_antivirals
O=C(NCCC1=CCCCC1)Nc1ccc(nc1)N1CCNC(=O)C1,Enamine_antivirals
COCCOc1ccc(NC(=O)N2CCCCCC2)cn1,Enamine_antivirals
CCN(CC)S(=O)(=O)NCc1cccnc1N1CCOCC1,Enamine_antivirals
OC(COc1ccc(F)cc1)Cn1cnc2ccccc12,Enamine_antivirals
CS(=O)(=O)N1CCCC1C(=O)NCCc1ccccn1,Enamine_antivirals
CN(CC(=O)NCc1ccc(nc1)N1CCOCC1)S(=O)(=O)C,Enamine_antivirals
