ID,compound_id,Smiles,pKi
50,CHEMBL67172,Cc1cccc(C)c1C(=O)N1CCC(N2CCN(Cc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,7.508638306
51,CHEMBL355560,CN(C)CCC1=C(Cc2cccnc2)c2ccccc2C1,5.269999835
52,CHEMBL954,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,5.88941029
53,CHEMBL352739,COc1ccc(S(=O)(=O)c2ccc(C(C#N)N3CCN(C4CCCCC4)C[C@H]3C)cc2)cc1,9.795880017
54,CHEMBL7634,O=C1CCCN1CC#CCN1CCCC1,6.211669086
55,CHEMBL222424,O=C1NC(c2ccc(F)cc2)(c2ccc(F)cc2)CN1C1CCN(Cc2ccccc2)CC1,6.684029655
56,CHEMBL2042552,CN(C)CC1COCC(c2ccccc2)(c2ccccc2)O1,7.779891912
57,CHEMBL569729,C[N+]1(C)CCCC1c1ccc(C(O)(c2ccccc2)c2ccccc2)o1,7.500038134
58,CHEMBL381623,CO[C@]1(C#CC(O)(c2ccccc2)c2ccccc2)CN2CCC1CC2,9.101194173
59,CHEMBL4093527,O=C1CCc2ccccc2N1CCCN1CCC(CCc2ccccc2)CC1,6.690008071
60,CHEMBL54155,CC(C)NC(=O)c1ccc(CC2CCN(C3CCN(C(=O)c4ccnc5ccccc45)CC3)CC2)cc1,7.397940009
61,CHEMBL64788,COC(=O)C1CC2CCCC1N2,6.318758763
62,CHEMBL423438,CC1CN(CCC[C@@H]2[C@H]3CCCC[C@@H]3C[C@@H]3C(=O)O[C@@H](C)[C@@H]32)CC(C)N1,6.301029996
63,CHEMBL1628706,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1)C(N)=O,5.878440156
64,CHEMBL169594,CN(C)CCOC(=O)C1=C(Cc2cccnc2)c2ccccc2C1,5.219999702
65,CHEMBL222916,N#CC[N+]1(CCOc2ccccc2)CCC(N2CC(c3ccccc3)(c3ccccc3)NC2=O)C1,5.938547521
66,CHEMBL356181,Nc1ccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)cc1F,6.508638306
67,CHEMBL2021479,CN(C)[C@H]1CCCC[C@H]1N(C)CC(=O)N1c2ccccc2NC(=O)c2ccccc21,8.349984048
68,CHEMBL148129,O=C(NC1CCN(CC2CCCCCC2)CC1)C(O)(c1ccccc1)C1CCCC1,5.508638306
69,CHEMBL68609,CC1(N)CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,6.193820026
70,CHEMBL181447,C[C@@H]1OC(=O)[C@H]2C=C3CCCC[C@@H]3/C(=C/CC3CCC(C)(C)N3C)[C@@H]12,7.167491087
71,CHEMBL3084662,CN1[C@H]2CC[C@@H]1C[C@H](CC(O)(c1ccccc1)c1ccccc1)C2,8.199970641
72,CHEMBL215894,O=C(NC[C@@H]1CCCNC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,7
73,CHEMBL200234,c1cc(N2CCNCC2)c2cc[nH]c2c1,4.700000069
74,CHEMBL233199,CN(C)C1(CNCCc2c(Cl)cccc2Cl)COc2ccccc2OC1,7.30980392
75,CHEMBL376900,C[N+]1(C[C@H]2O[C@@H]2c2ccccc2)CCC(N2CC(c3ccccc3)(c3ccccc3)NC2=O)C1,7.562249437
76,CHEMBL1201203,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,8.435570673
77,CHEMBL356305,Cc1cc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCCC3)CC2)cs1,7.619788758
78,CHEMBL72957,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OC(C)C)CC2)CC1,9.387110244
79,CHEMBL223017,O=C1NC(c2ccccc2)(c2ccccc2)CN1[C@H]1CCN(Cc2ccccc2)C1,5.643591673
80,CHEMBL352779,CN(C)CCNC(=O)C1=C(Cc2ccccn2)c2ccccc2C1,4.830000114
81,CHEMBL51459,CC(C)NC(=O)c1ccc(CC2CCN(C3CCN(C(=O)c4ccc(F)c5ccccc45)CC3)CC2)cc1,8.677780705
82,CHEMBL2042553,CN(C)C[C@H]1COCC(c2ccccc2)(c2ccccc2)O1,8.010016542
83,CHEMBL200319,COC1(C#CC(O)(c2ccccc2)c2cccnc2)CN2CCC1CC2,8.886056648
84,CHEMBL327664,OC1(C2=CN3CCC2CC3)c2ccccc2Oc2ccccc21,5.096910013
85,CHEMBL4063176,O=C1CCc2ccccc2N1CCCN1CCN(CCc2ccccc2)CC1,5.749999856
86,CHEMBL555146,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1,6.335358024
