ID,Name,PubChem,CN,Smiles,Source
507,sec-(S)-butylbenzene,,6,CC[C@H](C)c1ccccc1,Saldana
508,"2,7-dimethyl-(4R,5S)-diethyloctane",,39,CC[C@H](CC(C)C)[C@@H](CC)CC(C)C,Saldana
509,"2,7-dimethyl-(4R,5R)-diethyloctane",,39,CC[C@H](CC(C)C)[C@H](CC)CC(C)C,Saldana
510,"1,3-diethylbenzene",,9,CCc1cccc(CC)c1,Saldana
511,ethylbenzene,,8,CCc1ccccc1,Saldana
512,methanol,887,3.33,CO,FeatureCreature
513,dimethyl ether,8254,66.5,COC,FeatureCreature
514,dimethyl phthalate,8554,19,COC(=O)C1=CC=CC=C1C(=O)OC,FeatureCreature
515,dimethyl malonate,7943,15,COC(=O)CC(=O)OC,FeatureCreature
516,dimethyl adipate,12329,5,COC(=O)CCCCC(=O)OC,FeatureCreature
517,dimethyl azelate,15612,24,COC(=O)CCCCCCCC(=O)OC,FeatureCreature
518,methyl-9-decenoate,1778877,38.3,COC(=O)CCCCCCCC=C,FeatureCreature
519,anisole,7519,6.4,COC1=CC=CC=C1,FeatureCreature
520,guaiacol,460,19,COC1=CC=CC=C1O,FeatureCreature
521,"1,2 dimethoxybenzene",7043,17,COC1=CC=CC=C1OC,FeatureCreature
522,dipropylene glycol monomethyl ether,66984,43.9,COCCCOCCCO,FeatureCreature
523,2-methoxyethanol,8019,13,COCCO,FeatureCreature
524,"1,2-dimethoxyethane",8071,94,COCCOC,FeatureCreature
525,2-methoxyethyl ether,8150,122.67,COCCOCCOC,FeatureCreature
526,triethylene glycol monomethyl ether,8178,80.7,COCCOCCOCCO,FeatureCreature
527,triethyleneglycol dimethyl ether,8189,120,COCCOCCOCCOC,FeatureCreature
528,dimethoxymethane,8020,44.67,COCOC,FeatureCreature
529,"2,3(S),4,5(S),6-pentamethylheptane",,9,C[C@@H](C(C)C)C(C)[C@@H](C)C(C)C,Saldana
530,"2,2,4,4,6(S),8,8-heptamethylnonane",,15,C[C@@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
531,"2,3(R),4,5(S),6-pentamethylheptane",,9,C[C@H](C(C)C)C(C)[C@@H](C)C(C)C,Saldana
532,"2,3(R),4,5(R),6-pentamethylheptane",,9,C[C@H](C(C)C)C(C)[C@H](C)C(C)C,Saldana
533,"2,2,4,4,6(R),8,8-heptamethylnonane",,15,C[C@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
534,"1,2,3,4-tetramethylbenzene",,17,Cc1ccc(C)c(C)c1C,Saldana
535,"1,4-dimethylbenzene",,-13,Cc1ccc(C)cc1,Saldana
536,4-isopropyltoluene,,2,Cc1ccc(cc1)C(C)C,Saldana
537,"2,6-dimethylnaphthalene",,-13,Cc1ccc2cc(C)ccc2c1,Saldana
538,"1,3-xylene",,1,Cc1cccc(C)c1,Saldana
539,1-methylnaphthalene,,0,Cc1cccc2ccccc12,Saldana
540,"1,2-dimethylbenzene",,8,Cc1ccccc1C,Saldana
541,"(9Z,12Z,15Z)-octadeca-9,12,15-trien-1-ol",,41,OCCCCCCCC/C=C\C/C=C\C/C=C\CC,Saldana
542,"1,2-diphenylethane",,1,c1ccc(cc1)CCc1ccccc1,Saldana
543,diphenylmethane,,11,c1ccc(cc1)Cc1ccccc1,Saldana
544,biphenyl,,21,c1ccc(cc1)c1ccccc1,Saldana
545,benzene,,2,c1ccccc1,Saldana
