ID,Smiles,YSI,YSI_err,Source
462,CC(C)C(C)O,33.3,2.2,Pfefferle
463,C=CCCC(=O)OC,33.3,2.2,Pfefferle
464,COC(C)(C)CCO,33.2,2.2,Pfefferle
465,CCC(C)(C)O,32.9,2.2,Pfefferle
466,CC(=O)CC(C)C,32.8,2.2,Pfefferle
467,CC(=O)OC(C)(C)C,32.7,2.2,Pfefferle
468,CCCCCCC(=O)OC,32.5,2.2,Pfefferle
469,CCC(C)CO,32.3,2.2,Pfefferle
470,CC(C)CCO,31.9,2.2,Pfefferle
471,CCCOC(=O)CC,31.9,2.2,Pfefferle
472,CCCCOCC(C)O,31.7,2.2,Pfefferle
473,COC(C)(C)C,31.5,2.2,Pfefferle
474,CCCCOC=O,31,2.3,Pfefferle
475,COC(=O)C(C)(C)C,30.8,2.3,Pfefferle
476,CCC(=O)C(C)C,30.7,2.3,Pfefferle
477,CCCCC(=O)CC,30.7,2.3,Pfefferle
478,CC(C)(C)C=O,30.6,2.3,Pfefferle
479,CCCCCC(C)=O,30.4,2.3,Pfefferle
480,CC(C)COC=O,30.4,2.3,Pfefferle
481,CCCCCC,30.4,2.3,Pfefferle
482,C/C=C/C(=O)OCC,30.3,2.3,Pfefferle
483,CCCC(C)O,30.2,2.3,Pfefferle
484,CCCCCCO,30,2.3,Pfefferle
485,CCC(C)(C)C(=O)O,30,2.3,Pfefferle
486,C=CC(=O)OCCC,30,2.3,Pfefferle
487,CC(C)(C)OC=O,30,2.3,Pfefferle
488,CCOC(=O)C(C)CC,29.3,2.3,Pfefferle
489,CCC(O)CC,29.1,2.3,Pfefferle
490,CCC(C=O)CC,29,2.3,Pfefferle
491,CCC(C)C(C)=O,29,2.3,Pfefferle
492,C=C(C)C(=O)OC,29,2.3,Pfefferle
493,CCC(C)OC,28.6,2.3,Pfefferle
494,CCCC(=O)CCC,28.5,2.3,Pfefferle
495,CCCCC(=O)OCC,28.4,2.3,Pfefferle
496,COC(=O)CC(C)C,28.4,2.3,Pfefferle
497,CCCOCCC,28,2.3,Pfefferle
498,CC(C)CC=O,27.9,2.3,Pfefferle
499,CCCC(C)C=O,27.6,2.3,Pfefferle
500,CC(C)(C)O,27.5,2.3,Pfefferle
501,CCOC(CC)OCC,27.3,2.4,Pfefferle
502,C/C=C/C(=O)OC,27.3,2.4,Pfefferle
503,CCCCCC=O,26.7,2.4,Pfefferle
504,CCCCCC(=O)OC,26.7,2.4,Pfefferle
505,CC(=O)C(C)C,26.6,2.4,Pfefferle
506,C1CCOCC1,26.5,2.4,Pfefferle
507,CC(C)CO,26.2,2.4,Pfefferle
508,CCOC(=O)C(C)C,26.1,2.4,Pfefferle
509,CCC(CC)C(=O)O,25.9,2.4,Pfefferle
510,CCCOCC(C)O,25.8,2.4,Pfefferle
511,CCCCC(C)=O,25.6,2.4,Pfefferle
512,CC(C)OCCO,25.5,2.4,Pfefferle
513,CCCC(=O)CC,25.5,2.4,Pfefferle
514,CCCC(=O)OCC,25.5,2.4,Pfefferle
515,CCCCCO,25.4,2.4,Pfefferle
516,C=C(C)C(=O)OCC,25.4,2.4,Pfefferle
517,CC[C@H](C)O,25.3,2.4,Pfefferle
518,CCCCOCCO,25.3,2.4,Pfefferle
519,CC[C@@H](C)O,25.2,2.4,Pfefferle
520,CCC(C)C(=O)OC,24.9,2.4,Pfefferle
521,CCC(C)O,24.8,2.4,Pfefferle
522,CCCCC,24.6,2.4,Pfefferle
523,CCCOC(C)=O,24.4,2.4,Pfefferle
524,CC(=O)OC(C)C,23.7,2.5,Pfefferle
525,CCCCOC,23,2.5,Pfefferle
526,CCC(C)C=O,22.7,2.5,Pfefferle
527,CCOC(C)OCC,22.4,2.5,Pfefferle
528,CCCCC(=O)OC,22.3,2.5,Pfefferle
529,COC(=O)C(C)C,22.2,2.5,Pfefferle
530,COC1CCCCO1,22.1,2.5,Pfefferle
531,CCCCO,22,2.5,Pfefferle
532,C=CC(=O)OCC,22,2.5,Pfefferle
533,CC(C)C=O,21.2,2.5,Pfefferle
534,CCCC(C)=O,21.1,2.5,Pfefferle
535,CCC(=O)CC,21.1,2.5,Pfefferle
536,CCCCC=O,21.1,2.5,Pfefferle
537,CCOCCOCC,20.4,2.6,Pfefferle
538,CCOC(=O)CC,20.3,2.6,Pfefferle
539,CC(C)OC=O,20.3,2.6,Pfefferle
540,CCCOC=O,20.3,2.6,Pfefferle
541,CCC(O)COC,19.8,2.6,Pfefferle
542,C=CC(=O)OC,19.4,2.6,Pfefferle
543,CC(C)O,19.2,2.6,Pfefferle
544,CCC1CO1,18.8,2.6,Pfefferle
545,CC(C)C(=O)O,18.8,2.6,Pfefferle
546,COCC(C)OC,18.6,2.6,Pfefferle
547,CCCC(=O)OC,18.6,2.6,Pfefferle
548,CCOCOCC,18.5,2.6,Pfefferle
549,CCCC(=O)O,18.1,2.6,Pfefferle
550,CCCOC,18,2.6,Pfefferle
551,COCCCO,17.9,2.6,Pfefferle
552,CCCC=O,17.6,2.6,Pfefferle
553,CCC(C)=O,17.2,2.7,Pfefferle
554,CCOCC,16.8,2.7,Pfefferle
555,COCC(C)O,16.4,2.7,Pfefferle
556,COC(C)(C)OC,16.4,2.7,Pfefferle
557,CCCO,16.2,2.7,Pfefferle
558,COCCOCCOC,16.1,2.7,Pfefferle
559,CCOCCO,15.7,2.7,Pfefferle
560,CCOC(=O)OCC,15.3,2.7,Pfefferle
561,COCCOCCO,15,2.7,Pfefferle
562,CCC(=O)OC,15,2.7,Pfefferle
563,COC(OC)C(C)=O,14.8,2.7,Pfefferle
564,COC(OC)(OC)OC,14.8,2.7,Pfefferle
565,COC(C)OC,14.2,2.8,Pfefferle
566,CCC=O,13.9,2.8,Pfefferle
567,CC(O)CO,13.7,2.8,Pfefferle
568,CCOC(C)=O,13.4,2.8,Pfefferle
569,CC(C)=O,13,2.8,Pfefferle
570,COC(OC)OC,12.8,2.8,Pfefferle
571,COC(C)(OC)OC,12.7,2.8,Pfefferle
572,COCCOC,11.8,2.8,Pfefferle
573,COC(C)=O,11.7,2.8,Pfefferle
574,COCOC,10.9,2.9,Pfefferle
575,COC(=O)OC,10.5,2.9,Pfefferle
576,C1COCO1,10.3,2.9,Pfefferle
577,CCO,10.3,2.9,Pfefferle
578,COC(=O)[C@H](C)O,9.6,2.9,Pfefferle
579,CCOC=O,9.2,2.9,Pfefferle
580,OCCO,8.2,3,Pfefferle
581,CO,6.6,3,Pfefferle
582,CC1=CCCCC1,62,3,Pfefferle
583,CC(C)(C)C1=CCCCC1,161,5,Pfefferle
584,C1=C(c2ccccc2)CCCC1,468,14,Pfefferle
585,C1=C\CCCCCC/1,78,4,Pfefferle
586,CC1C=CCCC1,85,4,Pfefferle
587,CC1CC=CCC1,61,3,Pfefferle
588,C1=CCCCCC1,79,4,Pfefferle
589,O=C1CCCC1,22,4,Pfefferle
590,C=CC(C)(C)O,25,4,Pfefferle
591,CCN(CC)CC,25.5,5,Pfefferle
592,CCNCC,13.2,5,Pfefferle
593,CCCCN(C)C,26.1,5,Pfefferle
594,CN1CCCCC1,27.9,5,Pfefferle
595,C=CCNC,25.3,5,Pfefferle
596,CCCCNCC,22.1,5,Pfefferle
597,COCOCOCOC,0.5,5,Pfefferle
598,COCOCOCOCOC,-2.5,5,Pfefferle
599,COCOCOCOCOCOC,-4.8,5,Pfefferle
600,CCCOCOCCC,30.8,5,Pfefferle
601,COCCO,5.9,5,Pfefferle
602,OCCOCCO,7.9,5,Pfefferle
603,CCOCCOCCOCC,17.7,5,Pfefferle
604,CCOC(OCC)(OCC)OCC,25.1,5,Pfefferle
605,CCCCOCOCOCCCC,42.7,5,Pfefferle
606,CCCCOCOCOCOCCCC,37.8,5,Pfefferle
607,CCOCOCOCC,13.8,2,Pfefferle
608,CCOCOCOCOCC,11.9,2,Pfefferle
609,CCCOCOCOCCC,25.5,2,Pfefferle
610,CCCOCOCOCOCCC,21.3,2,Pfefferle
