ID,Smiles,YSI,YSI_err,Source
111,c1ccc2ncccc2c1,214.5991418,,Pfefferle
112,CCCCNCCCC,31.27368765,,Pfefferle
113,CCCCN(CCCC)CCCC,53.38336142,,Pfefferle
114,CN(C)C=O,6.550386843,,Pfefferle
115,CC(=O)N(C)C,9.688635793,,Pfefferle
116,Cc1ccc2ccccc2n1,311.1865273,,Pfefferle
117,CCCCNc1ccccc1,124.4855873,,Pfefferle
118,CCCCC(CC)CO[N+](=O)[O-],39.15580129,,Pfefferle
119,CCCCON=O,11.20918343,,Pfefferle
120,CC(C)(C)ON=O,11.19284154,,Pfefferle
121,CC(C)O[N+](=O)[O-],1.053112827,,Pfefferle
122,Cn1ccc2ccccc21,220.1179267,,Pfefferle
123,c1ccc2c(c1)CCN2,176.0525589,,Pfefferle
124,N=C(c1ccccc1)c1ccccc1,447.5709225,,Pfefferle
125,C1CN=C2CCCN2C1,27.89167748,,Pfefferle
126,c1ccc2c(c1)CCCN2,155.0636433,,Pfefferle
127,CC#N,1.029007561,,Pfefferle
128,C=CC#N,12.85554465,,Pfefferle
129,c1ccnnc1,15.43851191,,Pfefferle
130,CC(=O)n1ccc2ccccc21,187.0776255,,Pfefferle
131,C1CNC1,6.102034366,,Pfefferle
132,CC(C)(C)C(=N)C(C)(C)C,62.29861294,,Pfefferle
133,CCC(=O)NC,7.022612207,,Pfefferle
134,C1CCC2=NCCCN2CC1,45.91272698,,Pfefferle
135,O=[N+]([O-])c1ccccc1,98.94593855,,Pfefferle
136,c1cc[nH]c1,22.91453586,,Pfefferle
137,NCc1ccccc1,196.8211718,,Pfefferle
138,CCCCC#N,21.65767373,,Pfefferle
139,CNCc1ccccc1,193.0460888,,Pfefferle
140,CCNc1ccccc1,110.8116618,,Pfefferle
141,CNc1ccccc1,104.1713724,,Pfefferle
142,CCC#N,11.40452112,,Pfefferle
143,CC(N)c1ccccc1,143.8798862,,Pfefferle
144,CCCC#N,15.77524525,,Pfefferle
145,C=CC(OC)OC,15.5,,Pfefferle
146,C=CC(OCC)OCC,26.6,,Pfefferle
147,CCCCOCOCCCC,47.7,,Pfefferle
148,CC1(C)OCC(CO)O1,18.7,,Pfefferle
149,CC1OCCO1,11.1,,Pfefferle
150,CC1(C)OCCO1,17.4,,Pfefferle
151,CC1COC(C)(C)O1,25.6,,Pfefferle
152,CCC1(C)OCCO1,21.1,,Pfefferle
153,CCC(CC)C1OC(C)C(C)O1,57.8,,Pfefferle
154,CCCCC(CC)C1OC(C)C(C)O1,68.5,,Pfefferle
155,CCCC1OC(C)C(C)O1,36.5,,Pfefferle
156,CCCCCC1OC(C)C(C)O1,48.7,,Pfefferle
157,CCCCCCCC1OC(C)C(C)O1,63.2,,Pfefferle
