ID,CID,Name,RON,Smiles,Source
38,12260,"2,4-dimethyl-2-pentene",100,CC(C)C=C(C)C,QMMGoogleDrive
39,27535,"2,5-Dimethyl-3-Hexene",101.9,CC(C)C=CC(C)C,QMMGoogleDrive
40,16657,"2,4-Dimethyl-1-Pentene",99.2,CC(C)CC(=C)C,QMMGoogleDrive
41,7909,4-methyl-2-pentanone,106,CC(C)CC(=O)C,FeatureCreature
42,10907,"2,2,4-trimethylpentane",100,CC(C)CC(C)(C)C,QMMGoogleDrive
43,7907,"2,4-Dimethylpentane",83.1,CC(C)CC(C)C,QMMGoogleDrive
44,7910,4-Methylpentan-2-ol,102,CC(C)CC(C)O,QMMGoogleDrive
45,77414,Isobutylcyclopentane,33.4,CC(C)CC1CCCC1,QMMGoogleDrive
46,15508,Isobutylcyclohexane,33.7,CC(C)CC1CCCCC1,QMMGoogleDrive
47,12724,4-Methyl-1-Pentene,95.7,CC(C)CC=C,QMMGoogleDrive
48,18853,"2,5-Dimethyl-2-Hexene",95.2,CC(C)CC=C(C)C,QMMGoogleDrive
49,11592,"2,5-Dimethylhexane",55.2,CC(C)CCC(C)C,QMMGoogleDrive
50,77058,5-Methyl-1-Hexene,75.5,CC(C)CCC=C,QMMGoogleDrive
51,21122,6-Methyl-1-Heptene,63.8,CC(C)CCCC=C,QMMGoogleDrive
52,31276,3-Methylbutyl acetate,100.6,CC(C)CCOC(=O)C,QMMGoogleDrive
53,6560,2-methylpropan-1-ol,105,CC(C)CO,QMMGoogleDrive
54,3776,2-propanol,109,CC(C)O,QMMGoogleDrive
55,7915,"1-Methylethyl ester, acetic acid",102.9,CC(C)OC(=O)C,QMMGoogleDrive
56,15421,"1,1-Dimethylcyclopentane",92.3,CC1(CCCC1)C,QMMGoogleDrive
57,11549,"1,1-Dimethylcyclohexane",87.3,CC1(CCCCC1)C,QMMGoogleDrive
58,252329,"1,2,4-Trimethyl-4-isopropenylcyclohexene",92.8,CC1=C(CC(CC1)(C)C(=C)C)C,FeatureCreature
59,7463,para-Cymene,67.3,CC1=CC=C(C=C1)C(C)C,QMMGoogleDrive
60,12266,"2,5-Dimethylfuran",101.3,CC1=CC=C(O1)C,QMMGoogleDrive
61,7237,O-Xylene,120,CC1=CC=CC=C1C,QMMGoogleDrive
62,10797,2-methylfuran,103,CC1=CC=CO1,QMMGoogleDrive
63,78006,"1-Methyl-1,4-cyclohexadiene",75,CC1=CCC=CC1,FeatureCreature
64,522010,"1,1,2,4-Tetramethylcyclopentane",96.2,CC1CC(C(C1)(C)C)C,QMMGoogleDrive
65,17779,"1,2,4-Trimethylcyclopentane",89.2,CC1CC(C(C1)C)C,QMMGoogleDrive
66,35364,"1,3,5-Trimethylcyclohexane",63.8,CC1CC(CC(C1)C)C,QMMGoogleDrive
