,CID,Name,RON,Smiles,Source
26,12266,"2,5-Dimethylfuran",101.3,CC1=CC=C(O1)C,QMMGoogleDrive
1,7237,O-Xylene,120.0,CC1=CC=CC=C1C,QMMGoogleDrive
20,10797,2-methylfuran,103.0,CC1=CC=CO1,QMMGoogleDrive
379,78006,"1-Methyl-1,4-cyclohexadiene",75.0,CC1=CCC=CC1,FeatureCreature
49,522010,"1,1,2,4-Tetramethylcyclopentane",96.2,CC1CC(C(C1)(C)C)C,QMMGoogleDrive
56,17779,"1,2,4-Trimethylcyclopentane",89.2,CC1CC(C(C1)C)C,QMMGoogleDrive
59,35364,"1,3,5-Trimethylcyclohexane",63.8,CC1CC(CC(C1)C)C,QMMGoogleDrive
55,91517,"1,2,4-Trimethylcyclohexane",72.9,CC1CCC(C(C1)C)C,QMMGoogleDrive
51,20615,"1,1,3-Trimethylcyclopentane",81.7,CC1CCC(C1)(C)C,QMMGoogleDrive
58,17149,"1,3-Dimethylcyclopentane",79.9,CC1CCC(C1)C,QMMGoogleDrive
54,35368,"1,2,3-Trimethylcyclopentane",89.2,CC1CCC(C1C)C,QMMGoogleDrive
60,11523,"1,4-Dimethylcyclohexane",67.7,CC1CCC(CC1)C,QMMGoogleDrive
40,7459,1-Isopropyl-4-methylcyclohexane,67.3,CC1CCC(CC1)C(C)C,QMMGoogleDrive
387,10129,Pinane,77.7,CC1CCC2CC1C2(C)C,FeatureCreature
50,18309,"1,1,3-Trimethylcyclohexane",81.3,CC1CCCC(C1)(C)C,QMMGoogleDrive
57,11564,"1,3-Dimethylcyclohexane",69.3,CC1CCCC(C1)C,QMMGoogleDrive
53,15507,"1,2,3-Trimethylcyclohexane",84.8,CC1CCCC(C1C)C,QMMGoogleDrive
174,7296,Methylcyclopentane,89.3,CC1CCCC1,QMMGoogleDrive
173,7962,Methylcyclohexane,73.8,CC1CCCCC1,QMMGoogleDrive
48,35363,"1,1,2-Trimethylcyclohexane",95.7,CC1CCCCC1(C)C,QMMGoogleDrive
52,11416,"1,2-Dimethylcyclohexane",80.9,CC1CCCCC1C,QMMGoogleDrive
183,8252,Propene,101.8,CC=C,QMMGoogleDrive
70,10553,2-Methyl-2-Butene,97.3,CC=C(C)C,QMMGoogleDrive
143,11738,"3,4,4-Trimethyl-2-Pentene",103.0,CC=C(C)C(C)(C)C,QMMGoogleDrive
142,32737,"3,4-Dimethyl-2-Pentene",96.2,CC=C(C)C(C)C,QMMGoogleDrive
61,12220,2-Butene,101.6,CC=CC,QMMGoogleDrive
146,12659,4-Methyl-2-Pentene,98.9,CC=CC(C)C,QMMGoogleDrive
182,6334,Propane,111.0,CCC,QMMGoogleDrive
100,25403,"2,3-Dimethyl-2-Pentene",97.5,CCC(=C(C)C)C,QMMGoogleDrive
120,140592,3-Ethyl-2-Methyl-2-Pentene,95.6,CCC(=C(C)C)CC,QMMGoogleDrive
66,11240,2-Methyl-1-Butene,98.3,CCC(=C)C,QMMGoogleDrive
63,81818,2-Ethyl-3-Methyl-1-Butene,97.0,CCC(=C)C(C)C,QMMGoogleDrive
62,12970,2-Ethyl-1-Butene,99.3,CCC(=C)CC,QMMGoogleDrive
130,12014,3-Methyl-2-Pentene,97.2,CCC(=CC)C,QMMGoogleDrive
121,13159,3-Ethyl-2-Pentene,93.7,CCC(=CC)CC,QMMGoogleDrive
15,6569,2-Butanone,105.3,CCC(=O)C,QMMGoogleDrive
21,7288,3-Pentanone,103.0,CCC(=O)CC,QMMGoogleDrive
110,14040,"2,4-Dimethyl-3-ethylpentane",105.3,CCC(C(C)C)C(C)C,QMMGoogleDrive
85,6403,"2,2-Dimethylbutane",91.8,CCC(C)(C)C,QMMGoogleDrive
