SMILES,YSI,YSI_err,Source
CC(C)(C)ON=O,11.19284154,,Pfefferle
CC(C)O[N+](=O)[O-],1.053112827,,Pfefferle
Cn1ccc2ccccc21,220.1179267,,Pfefferle
c1ccc2c(c1)CCN2,176.0525589,,Pfefferle
N=C(c1ccccc1)c1ccccc1,447.5709225,,Pfefferle
C1CN=C2CCCN2C1,27.89167748,,Pfefferle
c1ccc2c(c1)CCCN2,155.0636433,,Pfefferle
CC#N,1.029007561,,Pfefferle
C=CC#N,12.85554465,,Pfefferle
c1ccnnc1,15.43851191,,Pfefferle
CC(=O)n1ccc2ccccc21,187.0776255,,Pfefferle
C1CNC1,6.102034366,,Pfefferle
CC(C)(C)C(=N)C(C)(C)C,62.29861294,,Pfefferle
CCC(=O)NC,7.022612207,,Pfefferle
C1CCC2=NCCCN2CC1,45.91272698,,Pfefferle
O=[N+]([O-])c1ccccc1,98.94593855,,Pfefferle
c1cc[nH]c1,22.91453586,,Pfefferle
NCc1ccccc1,196.8211718,,Pfefferle
CCCCC#N,21.65767373,,Pfefferle
CNCc1ccccc1,193.0460888,,Pfefferle
CCNc1ccccc1,110.8116618,,Pfefferle
CNc1ccccc1,104.1713724,,Pfefferle
CCC#N,11.40452112,,Pfefferle
CC(N)c1ccccc1,143.8798862,,Pfefferle
CCCC#N,15.77524525,,Pfefferle
C=CC(OC)OC,15.5,,Pfefferle
C=CC(OCC)OCC,26.6,,Pfefferle
CCCCOCOCCCC,47.7,,Pfefferle
CC1(C)OCC(CO)O1,18.7,,Pfefferle
CC1OCCO1,11.1,,Pfefferle
CC1(C)OCCO1,17.4,,Pfefferle
CC1COC(C)(C)O1,25.6,,Pfefferle
CCC1(C)OCCO1,21.1,,Pfefferle
CCC(CC)C1OC(C)C(C)O1,57.8,,Pfefferle
CCCCC(CC)C1OC(C)C(C)O1,68.5,,Pfefferle
CCCC1OC(C)C(C)O1,36.5,,Pfefferle
CCCCCC1OC(C)C(C)O1,48.7,,Pfefferle
CCCCCCCC1OC(C)C(C)O1,63.2,,Pfefferle
CCCCCC(OCC)OCC,42.9,,Pfefferle
CCCCCCCC(OCC)OCC,59.6,,Pfefferle
c1ccc(-c2ccccc2-c2ccccc2)cc1,1338.9,50,Pfefferle
c1cc2c3c(c1)ccc1cccc(c13)C2,1312.8,73.5,Pfefferle
c1ccc2c(c1)-c1cccc3cccc-2c13,1291.9,72.4,Pfefferle
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1286.6,72.3,Pfefferle
c1cc2ccc3cccc4ccc(c1)c2c34,1250.1,70.1,Pfefferle
c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,1192.6,67.2,Pfefferle
Cc1c2ccccc2cc2ccccc12,1182.1,44.1,Pfefferle
c1ccc(-c2cccc3ccccc23)cc1,1103.7,41.4,Pfefferle
c1ccc(C(c2ccccc2)c2ccccc2)cc1,1093.3,61.5,Pfefferle
c1ccc2c(c1)CCc1ccccc1C2,1067.2,40.1,Pfefferle
Cc1cccc2c1Cc1ccccc1-2,1014.9,38.2,Pfefferle
c1ccc2c(c1)Cc1ccccc1C2,988.8,37,Pfefferle
c1ccc2c(c1)Cc1ccccc1-2,988.8,37,Pfefferle
Cc1ccccc1-c1ccccc1C,983.5,36.9,Pfefferle
c1ccc2cc3ccccc3cc2c1,962.6,103.7,Pfefferle
c1ccc2c(c1)CCc1ccccc1-2,952.2,35.7,Pfefferle
c1ccc2c(c1)ccc1ccccc12,941.7,35.1,Pfefferle
C1=C(c2ccccc2)Cc2ccccc21,931.3,35,Pfefferle
Cc1cccc(-c2cccc(C)c2)c1,931.3,52.9,Pfefferle
Cc1ccc(-c2ccc(C)cc2)cc1,899.9,51.2,Pfefferle
Cc1ccccc1-c1ccccc1,863.3,32.5,Pfefferle
CCCCCc1ccc(-c2ccccc2)cc1,863.3,32.5,Pfefferle
CCCCc1ccc(-c2ccccc2)cc1,847.7,31.8,Pfefferle
CCCc1ccc(-c2ccccc2)cc1,821.5,30.6,Pfefferle
CCc1ccc(-c2ccccc2)cc1,811.1,30.5,Pfefferle
CCC(c1ccccc1)c1ccccc1,805.8,30.5,Pfefferle
c1cc2c3c(cccc3c1)CC2,805.8,30.5,Pfefferle
Cc1cccc2c(C)cccc12,779.7,29.3,Pfefferle
Cc1cccc(-c2ccccc2)c1,779.7,29.3,Pfefferle
Cc1ccc2cc(C)ccc2c1,774.5,29.2,Pfefferle
Cc1ccc(-c2ccccc2)cc1,769.3,28.7,Pfefferle
C/C(=C\c1ccccc1)c1ccccc1,753.6,28.5,Pfefferle
Cc1cc2ccccc2cc1C,748.4,28,Pfefferle
C=C(c1ccccc1)c1ccccc1,743.1,28,Pfefferle
Cc1ccc2ccccc2c1C,743.1,28,Pfefferle
Cc1cc(C)c2ccccc2c1,743.1,28,Pfefferle
CCc1cccc2ccccc12,732.7,27.4,Pfefferle
CC(C)(c1ccccc1)c1ccccc1,727.5,27.3,Pfefferle
Cc1ccc(C)c2ccccc12,711.8,26.7,Pfefferle
CCc1ccc2ccccc2c1,701.3,26.6,Pfefferle
Cc1cccc2ccccc12,649.1,24.7,Pfefferle
Cc1ccc2ccccc2c1,649.1,24.7,Pfefferle
C(#Cc1ccccc1)c1ccccc1,638.6,24.1,Pfefferle
c1ccc(-c2ccccc2)cc1,612.5,22.9,Pfefferle
c1ccc(Cc2ccccc2)cc1,612.5,22.9,Pfefferle
Cc1cccc2c1CCCC2C,607.3,22.9,Pfefferle
C(=C\c1ccccc1)\c1ccccc1,602,22.8,Pfefferle
C(=C/c1ccccc1)\c1ccccc1,602,34.8,Pfefferle
Cc1c(C)c(C)c(C)c(C)c1C,565.4,21.5,Pfefferle
Cc1ccc(CCc2ccc(C)cc2)cc1,549.8,20.9,Pfefferle
C#Cc1cc(C)ccc1C,512.7,19.6,Pfefferle
CC1=Cc2ccccc2C1,500.1,19.1,Pfefferle
c1ccc2cccc-2cc1,492.3,19,Pfefferle
C#Cc1ccccc1C,485,18.5,Pfefferle
Cc1cc(C)c(C)c(C)c1C,481.8,18.4,Pfefferle
CCC#Cc1ccccc1,480.8,18.4,Pfefferle
c1ccc(CCc2ccccc2)cc1,471.4,17.9,Pfefferle
C=Cc1cc(C)ccc1C,469.3,17.8,Pfefferle
C1=Cc2ccccc2C1,467.7,17.8,Pfefferle
C1=Cc2ccccc2CC1,466.1,17.8,Pfefferle
c1ccc2ccccc2c1,466.1,8.4,Pfefferle
C#CCc1ccccc1,443.7,17.1,Pfefferle
C#Cc1ccc(CC)cc1,442.6,17.1,Pfefferle
c1ccc2c(c1)CCC2,439.5,16.6,Pfefferle
CC(C)=Cc1ccccc1,436.9,16.6,Pfefferle
CC#Cc1ccccc1,427.5,16.5,Pfefferle
c1ccc(CCCc2ccccc2)cc1,413.9,15.9,Pfefferle
Cc1ccc(C(C)(C)C)cc1,410.8,15.9,Pfefferle
C=Cc1ccccc1C,408.1,15.9,Pfefferle
Cc1ccc(C)c(C)c1C,393,15.3,Pfefferle
Cc1cc(C)c(C)cc1C,393,15.3,Pfefferle
Cc1cc(C)c(C)c(C)c1,386.2,14.8,Pfefferle
C#Cc1cccc(C)c1,384.6,14.7,Pfefferle
c1ccc(C2CCCCC2)cc1,377.3,14.7,Pfefferle
CCc1ccccc1CC,376.3,14.7,Pfefferle
C#Cc1ccc(C)cc1,374.7,14.7,Pfefferle
CC(C)c1cccc(C(C)C)c1,353.3,14,Pfefferle
C/C=C/c1ccccc1,352.2,13.5,Pfefferle
c1ccc(C2CC2)cc1,343.9,13.5,Pfefferle
c1ccc2c(c1)CCCC2,336,13.4,Pfefferle
Cc1ccc(C(C)C)cc1,330.3,12.9,Pfefferle
CCCCCCCCCCCCCCc1ccccc1,330.3,20.2,Pfefferle
C=Cc1cccc(C)c1,322.4,12.8,Pfefferle
CCc1cccc(CC)c1,320.9,12.8,Pfefferle
O=C(c1ccccc1)c1ccccc1,319.8,19.6,Pfefferle
CCCCCCCCCCCCCc1ccccc1,319.8,12.8,Pfefferle
C=Cc1ccc(C)cc1,318.8,12.8,Pfefferle
Cc1cccc(C)c1C,315.1,12.3,Pfefferle
C=CCc1ccccc1,310.9,12.3,Pfefferle
Cc1cc(C)cc(C)c1,310.9,12.3,Pfefferle
Cc1ccc(C)c(C)c1,308.3,12.2,Pfefferle
CCCCCCCCCCCCc1ccccc1,304.1,12.2,Pfefferle
C#CCCc1ccccc1,298.9,11.7,Pfefferle
CCCCCCCCCCCc1ccccc1,293.7,11.7,Pfefferle
CC(C)(C)c1ccccc1,291.1,11.6,Pfefferle
C=C(C)c1ccccc1,286.4,11.6,Pfefferle
CCCCCCCCCCc1ccccc1,283.2,11.6,Pfefferle
CCCCCCCCCc1ccccc1,283.2,11.6,Pfefferle
CCc1cccc(C)c1,278,11.1,Pfefferle
C=CCCc1ccccc1,275.9,11.1,Pfefferle
CC(C)(C)Cc1ccccc1,272.8,11,Pfefferle
CCc1ccc(CC)cc1,270.7,11,Pfefferle
CCc1ccccc1C,267,11,Pfefferle
CC(C)CCc1ccccc1,258.1,10.5,Pfefferle
CC(C)Cc1ccccc1,257.6,10.5,Pfefferle
CCc1ccc(C)cc1,257.1,10.5,Pfefferle
CCCCCCCc1ccccc1,257.1,10.5,Pfefferle
CCCCCCCCc1ccccc1,257.1,10.5,Pfefferle
CCCCCc1ccccc1,255,10.5,Pfefferle
CCCCCCc1ccccc1,246.7,9.9,Pfefferle
CCCCc1ccccc1,245.1,9.9,Pfefferle
c1ccc(Oc2ccccc2)cc1,241.4,9.9,Pfefferle
CCCc1ccccc1,235.7,9.9,Pfefferle
Cc1cccc(C)c1,221.6,9.3,Pfefferle
C#Cc1ccccc1,216.3,9.3,Pfefferle
CCC(C)c1ccccc1,199.1,8.7,Pfefferle
CC1=CC2C3CC(C=C3C)C2C1,189.2,8.2,Pfefferle
CC(C)c1ccccc1,187.6,8.2,Pfefferle
CC1=CCC=CC1,175.6,7.7,Pfefferle
C=Cc1ccccc1,174,7.7,Pfefferle
Cc1ccccc1,170.9,7.7,Pfefferle
C1=CC2C3C=CC(C3)C2C1,157.8,7.2,Pfefferle
Brc1ccccc1,137.4,6.7,Pfefferle
Clc1ccccc1,128,6.7,Pfefferle
N#Cc1ccccc1,115,6.3,Pfefferle
Fc1ccccc1,106.6,5.8,Pfefferle
C1CCC2CCCCC2C1,105.5,5.8,Pfefferle
C1=CCC=CC1,101.4,5.8,Pfefferle
c1ccccc1,100.3,5.8,Pfefferle
C1CCC(C2CCCCC2)CC1,117.1,5.9,Pfefferle
CC(CC(C)(C)C)CC(C)(C)C,99.3,2.9,Pfefferle
C1=CCCC=C1,98.8,5.8,Pfefferle
CC1=CCCC1,96.5,2.8,Pfefferle
C=CCCCCCCCCCC,90.3,2.6,Pfefferle
CC(C)=CC(C)(C)C,89.3,2.6,Pfefferle
CC(C)=C(C)C(C)C,87,2.5,Pfefferle
CC1CCC(C)C(C)C1,82.8,2.4,Pfefferle
CCCCC1CCCCC1,76.8,2.2,Pfefferle
C=CCCCCCCCC,74.8,2.2,Pfefferle
CC(C)C1CCCCC1,74.7,2.2,Pfefferle
C#CCCCCCC,74.1,2.2,Pfefferle
C=C(C)C(C)(C)C,72.8,2.2,Pfefferle
C1=CCCC1,70.2,2.1,Pfefferle
CCCC1CCCCC1,69.2,2.1,Pfefferle
C=C(C)CC(C)(C)C,68.5,2.1,Pfefferle
CC1(C)CCCCC1,67.9,2.1,Pfefferle
C=CCCC(=C)C,67.7,2.1,Pfefferle
CC1CCCC(C)C1,67.6,2.1,Pfefferle
CC1CCC(C)CC1,67.6,2.1,Pfefferle
CC(C)(C)C(=O)C(C)(C)C,65.8,2,Pfefferle
C[C@H]1CCCC[C@H]1C,65.2,2,Pfefferle
CCCCC=C(C)C,64.5,2,Pfefferle
C=CCCCCCCC,64.4,2,Pfefferle
CC(C)CCOCCC(C)C,63.6,2,Pfefferle
CC(C)=C(C)C,62.4,2,Pfefferle
CC(CC=O)CC(C)(C)C,62.3,2,Pfefferle
COC1CCCC1,62.3,2,Pfefferle
CC(C)CC(C)(C)C,61.7,2,Pfefferle
C=CCC(C)(C)C,61.4,2,Pfefferle
CC(C)C(C)C(C)C,60.9,2,Pfefferle
CCC1CCCCC1,60.7,2,Pfefferle
CCCCC(C)C(C)C,60.2,2,Pfefferle
CC=C(CC)CC,59.8,2,Pfefferle
CCC/C=C/CCC,59.8,2,Pfefferle
CC(CO)CC(C)(C)C,59,2,Pfefferle
CC/C=C/CCCC,58.8,2,Pfefferle
CCC1CCCC1,58.6,2,Pfefferle
C1CCCCCCC1,57.7,2,Pfefferle
C/C=C/CCCCC,56.7,2,Pfefferle
C=C(C)CCCCC,56.6,2,Pfefferle
CCC(C)CC(C)C,56.1,2,Pfefferle
CC(C)CCC(C)C,56.1,2,Pfefferle
C=CCCCCCC,56,2,Pfefferle
CC(C)CC(=O)CC(C)C,55.8,2,Pfefferle
C=CCC(C)CC,55.8,2,Pfefferle
CC(C)C(C)(C)C,55.3,2,Pfefferle
CCC(C)C(C)CC,55.2,2,Pfefferle
CC#CCC,54.7,2,Pfefferle
C/C=C\C(C)C,54.1,2,Pfefferle
CCC(C)OC(C)CC,54,2,Pfefferle
C/C=C(\C)CC,53.7,2,Pfefferle
CCC=C(C)C,53.6,2,Pfefferle
CC1CCCCC1,53.6,2,Pfefferle
CC/C=C/CCC,53.5,2,Pfefferle
C=C(C)C(C)C,53.4,2,Pfefferle
C=CC(C)(C)C,53.1,2,Pfefferle
CCCCC(C)(C)C,52.8,2,Pfefferle
CCCCCCCCCC=O,52.8,2,Pfefferle
CCCCCCCCC(C)=O,51.9,2,Pfefferle
C/C=C\CCCC,50.8,2,Pfefferle
CCCC(CO)CCC,50.5,2,Pfefferle
CCCCC(CC)CO,50.4,2,Pfefferle
CC1CCCC1,50.3,2,Pfefferle
CCCCCCCC(=O)CC,50.2,2,Pfefferle
C=CCC(C)C,50.2,2,Pfefferle
CCCCCCCCC,50.1,2,Pfefferle
C1CCCCCC1,50,2,Pfefferle
CC(C)CC(C)C,49.6,2,Pfefferle
CCC(C)C(C)C,49.4,2,Pfefferle
CCCCCC(C)C,49.4,2,Pfefferle
C=C(C)CCCC,49.1,2,Pfefferle
CCCCC(C)CC,48.7,2,Pfefferle
C=CCCCCC,48.4,2,Pfefferle
CCCCC(C=O)CCCC,48.2,2,Pfefferle
CCCC(C)CCC,48.1,2,Pfefferle
CCC(C)(C)CC,47.7,2,Pfefferle
CCCC(C)(C)C,47.4,2,Pfefferle
C#CCCC,47.3,2,Pfefferle
CC/C=C/CC,47.2,2,Pfefferle
CCCCCCC(C)O,46.1,2,Pfefferle
CCC(O)C(C)(C)C,46,2,Pfefferle
C/C=C/CCC,45.8,2,Pfefferle
C=C(CC)CC,45.6,2,Pfefferle
C1=CCCCC1,45.6,2,Pfefferle
CC/C=C/CC(=O)OC,45.3,2,Pfefferle
CCCCCCCC(C)=O,45.1,2,Pfefferle
C=CC(C)CC,45.1,2,Pfefferle
CC(C)CCC(C)O,44.7,2,Pfefferle
C/C=C\CCC,44.7,2,Pfefferle
CC(O)COC(C)(C)C,44,2,Pfefferle
CC(C)C(C)C,44,2,Pfefferle
CCCCC(O)CCC,43.8,2,Pfefferle
CCCCCCCCC=O,43.7,2,Pfefferle
CCCCCC(O)CC,43.6,2,Pfefferle
CC(=O)OCCC(C)C,43.6,2,Pfefferle
CC=C(C)C,43.5,2,Pfefferle
CCC(=O)CC(C)CC,43.5,2,Pfefferle
CCC(C)(C)C,43.4,2,Pfefferle
CCCCOC(=O)CC,43.3,2,Pfefferle
CCCC(C)CC,43,2,Pfefferle
CCCCCCC(=O)CC,43,2,Pfefferle
C=C(C)CCC,42.9,2,Pfefferle
CC(=O)CC(C)(C)C,42.7,2,Pfefferle
C1CCCCC1,42.7,2,Pfefferle
CC(C)C(=O)C(C)C,42.6,2,Pfefferle
CCCCCCCC,42.6,2,Pfefferle
C=CCCCC,42.4,2,Pfefferle
CCCCC(C)C,42.4,2,Pfefferle
OC1CCCCC1,42.3,2,Pfefferle
CC(C)CC(C)O,42,2.1,Pfefferle
CCC=C(C)C(=O)OC,42,2.1,Pfefferle
CC(C)C(O)C(C)C,41.9,2.1,Pfefferle
CCCCC(C)(C)O,41.8,2.1,Pfefferle
CCCCC(=O)CCCC,41.8,2.1,Pfefferle
CCC(CC)CO,41.7,2.1,Pfefferle
C=CCCC(=O)OCC,41.2,2.1,Pfefferle
CCCCCCCCO,41.1,2.1,Pfefferle
CCC(=O)OCC(C)C,41.1,2.1,Pfefferle
CC(C)(C)CCO,40.9,2.1,Pfefferle
