,#Name,PubChem,Cetane,Smiles,Source
137,octyl myristate,85351.0,71.0,CCCCCCCCCCCCCC(=O)OCCCCCCCC,FeatureCreature
191,decyl myristate,170588.0,72.0,CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,FeatureCreature
153,dodecyl myristate,74881.0,74.0,CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,FeatureCreature
172,2-methyl-2-phenylpentadecane,520412.0,39.0,CCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1,FeatureCreature
553,2-methyl-2-cyclohexylpentadecane,,45.0,CCCCCCCCCCCCCC(C)(C)C1CCCCC1,Saldana
409,2-methyl-2-phenylpentadecane,,39.0,CCCCCCCCCCCCCC(C)(C)c1ccccc1,Saldana
249,n-pentadecane,12391.0,96.5,CCCCCCCCCCCCCCC,FeatureCreature
130,n-tetradecylbenzene,15086.0,72.0,CCCCCCCCCCCCCCC1=CC=CC=C1,FeatureCreature
314,2-cyclohexyl- tetradecane,15715.0,57.0,CCCCCCCCCCCCCCC1CCCCC1,FeatureCreature
251,1-hexadecene,12395.0,75.9,CCCCCCCCCCCCCCC=C,FeatureCreature
218,n-hexadecane,11006.0,100.5,CCCCCCCCCCCCCCCC,FeatureCreature
78,methyl palmitate,8181.0,85.9,CCCCCCCCCCCCCCCC(=O)OC,FeatureCreature
123,isopropyl palmitate,8907.0,83.0,CCCCCCCCCCCCCCCC(=O)OC(C)C,FeatureCreature
546,sec-butyl hexadecanoate,,84.8,CCCCCCCCCCCCCCCC(=O)OC(C)CC,Saldana
464,"2,3-di(hexadecanoyloxy)propyl hexadecanoate",,89.0,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,Saldana
245,ethyl palmitate,12366.0,93.0,CCCCCCCCCCCCCCCC(=O)OCC,FeatureCreature
45,isobutyl palmitate,66967.0,84.0,CCCCCCCCCCCCCCCC(=O)OCC(C)C,FeatureCreature
145,2-ethylhexyl palmitate,62851.0,107.0,CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
221,tripalmitin,11147.0,89.0,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FeatureCreature
159,propyl palmitate,75232.0,83.0,CCCCCCCCCCCCCCCC(=O)OCCC,FeatureCreature
457,2-ethylhexyl hexadecanoate,,98.2,CCCCCCCCCCCCCCCC(=O)OCCC(CC)CCC,Saldana
55,butyl palmitate,8090.0,87.0,CCCCCCCCCCCCCCCC(=O)OCCCC,FeatureCreature
193,hexyl palmitate,162505.0,87.0,CCCCCCCCCCCCCCCC(=O)OCCCCCC,FeatureCreature
534,octyl hexadecanoate,,107.0,CCCCCCCCCCCCCCCC(=O)OCCCCCCCC,Saldana
194,decyl palmitate,98603.0,91.0,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,FeatureCreature
408,2-methyl-2-phenylheptadecane,,39.0,CCCCCCCCCCCCCCCC(C)(C)c1ccccc1,Saldana
150,2-methylheptadecane,15265.0,91.0,CCCCCCCCCCCCCCCC(C)C,FeatureCreature
319,5-phenyleicosane,16983.0,39.0,CCCCCCCCCCCCCCCC(CCCC)C1=CC=CC=C1,FeatureCreature
315,5-cyclohexyleicosane,311971.0,66.0,CCCCCCCCCCCCCCCC(CCCC)C1CCCCC1,FeatureCreature
252,n-heptadecane,12398.0,105.0,CCCCCCCCCCCCCCCCC,FeatureCreature
135,2-methyloctadecane,15264.0,104.4,CCCCCCCCCCCCCCCCC(C)C,FeatureCreature
301,methyl gondoate,6438470.0,73.2,CCCCCCCCCCCCCCCCC/C=C\C(=O)OC,FeatureCreature
551,"1,2,4-trimethyl-5-hexadecylcyclohexane",,42.0,CCCCCCCCCCCCCCCCC1CC(C)C(C)CC1C,Saldana
89,1-octadecene,8217.0,90.0,CCCCCCCCCCCCCCCCC=C,FeatureCreature
234,n-octadecane,11635.0,106.3,CCCCCCCCCCCCCCCCCC,FeatureCreature
224,stearic acid,5281.0,62.0,CCCCCCCCCCCCCCCCCC(=O)O,FeatureCreature
83,methyl stearate,8201.0,95.6,CCCCCCCCCCCCCCCCCC(=O)OC,FeatureCreature
71,isopropyl stearate,8162.0,97.0,CCCCCCCCCCCCCCCCCC(=O)OC(C)C,FeatureCreature
547,sec-butyl octadecanoate,,97.5,CCCCCCCCCCCCCCCCCC(=O)OC(C)CC,Saldana
465,"2,3-di(octadecanoyloxy)propyl octadecanoate",,85.0,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,Saldana
60,ethyl stearate,8122.0,76.8,CCCCCCCCCCCCCCCCCC(=O)OCC,FeatureCreature
256,isobutyl stearate,12588.0,99.0,CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,FeatureCreature
158,2-ethylhexyl stearate,13132266.0,116.0,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
220,tristearin,11146.0,85.0,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,FeatureCreature
184,propyl stearate,77190.0,91.0,CCCCCCCCCCCCCCCCCC(=O)OCCC,FeatureCreature
458,2-ethylhexyl octadecanoate,,115.5,CCCCCCCCCCCCCCCCCC(=O)OCCC(CC)CCC,Saldana
106,butyl stearate,31278.0,86.5,CCCCCCCCCCCCCCCCCC(=O)OCCCC,FeatureCreature
253,n-nonadecane,12401.0,110.0,CCCCCCCCCCCCCCCCCCC,FeatureCreature
100,n-eicosane,8222.0,110.0,CCCCCCCCCCCCCCCCCCCC,FeatureCreature
93,methyl arachidate,14259.0,100.0,CCCCCCCCCCCCCCCCCCCC(=O)OC,FeatureCreature
90,1-octadecanol,8221.0,81.0,CCCCCCCCCCCCCCCCCCO,FeatureCreature
275,octadecyl acetate,69968.0,90.0,CCCCCCCCCCCCCCCCCCOC(=O)C,FeatureCreature
186,1-hexadecanol,2682.0,68.0,CCCCCCCCCCCCCCCCO,FeatureCreature
250,hexadecyl acetate,12393.0,86.0,CCCCCCCCCCCCCCCCOC(=O)C,FeatureCreature
502,hexadecyl pentanoate,,70.0,CCCCCCCCCCCCCCCCOC(=O)CCCC,Saldana
273,hexadecyl laurate,88709.0,88.0,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC,FeatureCreature
400,"1,2,4-trimethyl-5-hexadecylbenzene",,42.0,CCCCCCCCCCCCCCCCc1cc(C)c(C)cc1C,Saldana
564,5(R)-cyclohexyleicosane,,66.0,CCCCCCCCCCCCCCC[C@@H](CCCC)C1CCCCC1,Saldana
427,5(R)-phenyleicosane,,39.0,CCCCCCCCCCCCCCC[C@@H](CCCC)c1ccccc1,Saldana
565,5(S)-cyclohexyleicosane,,66.0,CCCCCCCCCCCCCCC[C@H](CCCC)C1CCCCC1,Saldana
428,5(S)-phenyleicosane,,39.0,CCCCCCCCCCCCCCC[C@H](CCCC)c1ccccc1,Saldana
87,1-tetradecanol,8209.0,80.8,CCCCCCCCCCCCCCO,FeatureCreature
254,tetradecyl acetate,12531.0,81.0,CCCCCCCCCCCCCCOC(=O)C,FeatureCreature
549,tetradecyl pentanoate,,68.0,CCCCCCCCCCCCCCOC(=O)CCCC,Saldana
451,tetradecylbenzene,,72.0,CCCCCCCCCCCCCCc1ccccc1,Saldana
82,1-dodecanol,8193.0,63.6,CCCCCCCCCCCCO,FeatureCreature
86,dodecyl acetate,8205.0,77.0,CCCCCCCCCCCCOC(=O)C,FeatureCreature
322,dodecyl valerate,545395.0,67.0,CCCCCCCCCCCCOC(=O)CCCC,FeatureCreature
485,dodecyl (9Z)-octadec-9-enoate,,134.0,CCCCCCCCCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC,Saldana
116,dodecyl laurate,84113.0,85.0,CCCCCCCCCCCCOC(=O)CCCCCCCCCCC,FeatureCreature
557,2(R)-cyclohexyltetradecane,,57.0,CCCCCCCCCCCC[C@@H](C)C1CCCCC1,Saldana
415,2(R)-phenyltetradecane,,49.0,CCCCCCCCCCCC[C@@H](C)c1ccccc1,Saldana
558,2(S)-cyclohexyltetradecane,,57.0,CCCCCCCCCCCC[C@H](C)C1CCCCC1,Saldana
418,2(S)-phenyltetradecane,,49.0,CCCCCCCCCCCC[C@H](C)c1ccccc1,Saldana
436,n-dodecylbenzene,,68.0,CCCCCCCCCCCCc1ccccc1,Saldana
80,1-undecanol,8184.0,53.2,CCCCCCCCCCCO,FeatureCreature
75,1-decanol,8174.0,50.3,CCCCCCCCCCO,FeatureCreature
74,decyl acetate,8167.0,62.0,CCCCCCCCCCOC(=O)C,FeatureCreature
321,decyl valerate,79553.0,61.0,CCCCCCCCCCOC(=O)CCCC,FeatureCreature
188,decyl oleate,5363234.0,134.0,CCCCCCCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC,FeatureCreature
142,decyl caprate,74247.0,81.0,CCCCCCCCCCOC(=O)CCCCCCCCC,FeatureCreature
126,1-nonanol,8914.0,46.2,CCCCCCCCCO,FeatureCreature
582,"(11E)-(10R,13S)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@@H](C)/C=C/[C@@H](C)CCCCCCCCC,Saldana
581,"(11E)-(10R,13R)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@@H](C)/C=C/[C@H](C)CCCCCCCCC,Saldana
585,"(11Z)-(10R,13S)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@@H](C)/C=C\[C@@H](C)CCCCCCCCC,Saldana
584,"(11Z)-(10R,13R)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@@H](C)/C=C\[C@H](C)CCCCCCCCC,Saldana
630,"(10R,13S)-dimethyldocosane",,56.0,CCCCCCCCC[C@@H](C)CC[C@@H](C)CCCCCCCCC,Saldana
629,"(10R,13R)-dimethyldocosane",,56.0,CCCCCCCCC[C@@H](C)CC[C@H](C)CCCCCCCCC,Saldana
416,2(R)-phenylundecane,,51.0,CCCCCCCCC[C@@H](C)c1ccccc1,Saldana
583,"(11E)-(10S,13S)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@H](C)/C=C/[C@@H](C)CCCCCCCCC,Saldana
586,"(11Z)-(10S,13S)-dimethyldoeicos-11-ene",,56.0,CCCCCCCCC[C@H](C)/C=C\[C@@H](C)CCCCCCCCC,Saldana
631,"(10S,13S)-dimethyldocosane",,56.0,CCCCCCCCC[C@H](C)CC[C@@H](C)CCCCCCCCC,Saldana
419,2(S)-phenylundecane,,51.0,CCCCCCCCC[C@H](C)c1ccccc1,Saldana
439,nonylbenzene,,50.0,CCCCCCCCCc1ccccc1,Saldana
69,1-octanol,957.0,33.7,CCCCCCCCO,FeatureCreature
219,octyl valerate,79545.0,49.0,CCCCCCCCOC(=O)CCCC,FeatureCreature
105,dioctyl adipate,31271.0,89.0,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,FeatureCreature
643,"(9R,10S)-dimethyloctadecane",,59.0,CCCCCCCC[C@@H](C)[C@@H](C)CCCCCCCC,Saldana
641,"(9R,10R)-dimethyloctadecane",,59.0,CCCCCCCC[C@@H](C)[C@H](C)CCCCCCCC,Saldana
