,#Name,PubChem,Cetane,Smiles,Source
577,sec-(R)butyldecalin,,34.0,CC[C@@H](C)C1CCCC2CCCCC12,Saldana
446,sec-(R)-butyltetralin,,7.0,CC[C@@H](C)C1CCCc2ccccc12,Saldana
391,"(3R,6R)-dimethyl-3-(beta-naphthyl)octane",,18.0,CC[C@@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,Saldana
392,"(3R,6S)-dimethyl-3-(beta-naphthyl)octane",,18.0,CC[C@@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,Saldana
445,sec-(R)-butylbenzene,,6.0,CC[C@@H](C)c1ccccc1,Saldana
664,"2,7-dimethyl-(4S,5S)-diethyloctane",,39.0,CC[C@@H](CC(C)C)[C@@H](CC)CC(C)C,Saldana
657,"2,3(S)-dimethylpentane",,21.0,CC[C@H](C)C(C)C,Saldana
578,sec-(S)butyldecalin,,34.0,CC[C@H](C)C1CCCC2CCCCC12,Saldana
448,sec-(S)-butyltetralin,,7.0,CC[C@H](C)C1CCCc2ccccc12,Saldana
393,"(3S,6R)-dimethyl-3-(beta-naphthyl)octane",,18.0,CC[C@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,Saldana
394,"(3S,6S)-dimethyl-3-(beta-naphthyl)octane",,18.0,CC[C@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,Saldana
447,sec-(S)-butylbenzene,,6.0,CC[C@H](C)c1ccccc1,Saldana
663,"2,7-dimethyl-(4R,5S)-diethyloctane",,39.0,CC[C@H](CC(C)C)[C@@H](CC)CC(C)C,Saldana
662,"2,7-dimethyl-(4R,5R)-diethyloctane",,39.0,CC[C@H](CC(C)C)[C@H](CC)CC(C)C,Saldana
402,"1,3-diethylbenzene",,9.0,CCc1cccc(CC)c1,Saldana
434,ethylbenzene,,8.0,CCc1ccccc1,Saldana
257,methanol,887.0,3.33,CO,FeatureCreature
96,dimethyl ether,8254.0,66.5,COC,FeatureCreature
113,dimethyl phthalate,8554.0,19.0,COC(=O)C1=CC=CC=C1C(=O)OC,FeatureCreature
34,dimethyl malonate,7943.0,15.0,COC(=O)CC(=O)OC,FeatureCreature
16,dimethyl adipate,12329.0,5.0,COC(=O)CCCCC(=O)OC,FeatureCreature
148,dimethyl azelate,15612.0,24.0,COC(=O)CCCCCCCC(=O)OC,FeatureCreature
297,methyl-9-decenoate,1778877.0,38.3,COC(=O)CCCCCCCC=C,FeatureCreature
323,anisole,7519.0,6.4,COC1=CC=CC=C1,FeatureCreature
341,guaiacol,460.0,19.0,COC1=CC=CC=C1O,FeatureCreature
338,"1,2 dimethoxybenzene",7043.0,17.0,COC1=CC=CC=C1OC,FeatureCreature
182,dipropylene glycol monomethyl ether,66984.0,43.9,COCCCOCCCO,FeatureCreature
43,2-methoxyethanol,8019.0,13.0,COCCO,FeatureCreature
52,"1,2-dimethoxyethane",8071.0,94.0,COCCOC,FeatureCreature
70,2-methoxyethyl ether,8150.0,122.67,COCCOCCOC,FeatureCreature
76,triethylene glycol monomethyl ether,8178.0,80.7,COCCOCCOCCO,FeatureCreature
81,triethyleneglycol dimethyl ether,8189.0,120.0,COCCOCCOCCOC,FeatureCreature
44,dimethoxymethane,8020.0,44.67,COCOC,FeatureCreature
658,"2,3(S),4,5(S),6-pentamethylheptane",,9.0,C[C@@H](C(C)C)C(C)[C@@H](C)C(C)C,Saldana
651,"2,2,4,4,6(S),8,8-heptamethylnonane",,15.0,C[C@@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
656,"2,3(R),4,5(S),6-pentamethylheptane",,9.0,C[C@H](C(C)C)C(C)[C@@H](C)C(C)C,Saldana
655,"2,3(R),4,5(R),6-pentamethylheptane",,9.0,C[C@H](C(C)C)C(C)[C@H](C)C(C)C,Saldana
650,"2,2,4,4,6(R),8,8-heptamethylnonane",,15.0,C[C@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
399,"1,2,3,4-tetramethylbenzene",,17.0,Cc1ccc(C)c(C)c1C,Saldana
404,"1,4-dimethylbenzene",,-13.0,Cc1ccc(C)cc1,Saldana
421,4-isopropyltoluene,,2.0,Cc1ccc(cc1)C(C)C,Saldana
413,"2,6-dimethylnaphthalene",,-13.0,Cc1ccc2cc(C)ccc2c1,Saldana
403,"1,3-xylene",,1.0,Cc1cccc(C)c1,Saldana
396,1-methylnaphthalene,,0.0,Cc1cccc2ccccc12,Saldana
397,"1,2-dimethylbenzene",,8.0,Cc1ccccc1C,Saldana
367,"(9Z,12Z,15Z)-octadeca-9,12,15-trien-1-ol",,41.0,OCCCCCCCC/C=C\C/C=C\C/C=C\CC,Saldana
398,"1,2-diphenylethane",,1.0,c1ccc(cc1)CCc1ccccc1,Saldana
433,diphenylmethane,,11.0,c1ccc(cc1)Cc1ccccc1,Saldana
431,biphenyl,,21.0,c1ccc(cc1)c1ccccc1,Saldana
430,benzene,,2.0,c1ccccc1,Saldana
